DateTime,AirportDistance,AltAGL,AltMSL Lag Diff,amp1,amp2,AOASimple,CAS,Coordination Index,E1 CHT Divergence,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT Divergence,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,E1 FFlow,E1 OilP,E1 OilT,E1 RPM,FQtyL,FQtyR,GndSpd,HAL,HDG,HPLfd,IAS,LatAc,LOC-I Index,NAV1,NAV2,NormAc,OAT,Pitch,Roll,RunwayDistance,Stall Index,TAS,Total Fuel,TRK,volt1,volt2,VPLwas,VSpd,VSpd Calculated,VSpdG
12054,10000,5086,-0.9,0,0,1.489941511,99.88,1.234913921,44.39,343.58,344.1,350.99,387.97,9.22,1349.69,1353.39,1344.17,1346.65,9.67,64.18,191.11,2534.2,13.19,11.45,115.02,3704,120.6,14.5,99.88,-0.01,0.001226633,110.3,110.3,-0.04,16.5,1.32,0.96,500,0.099329434,114,24.64,126.8,28.2,28.1,18,47.06,-30,-3.9
8803,10000,2214,-13.2,0.1,0,2.539091517,99.58,71.80118402,36.88,304.55,305.07,312.19,341.43,22,1267.36,1268.56,1282.1,1260.1,10.54,63.54,184.29,2389.7,16.86,16.02,98.61,1852,319.5,14,99.58,-0.02,0.121539851,110.3,110.3,0.03,24.5,2.88,-0.34,500,0.169272768,107,32.88,321.1,28.2,28,14,-105.06,60,63
13521,10000,4401,-96.7,0,0,-0.232185805,112.85,6.322390215,38.87,297.62,300.76,306.79,336.49,19.01,1246.62,1251.33,1262.46,1243.45,9.96,66,182.78,2497.4,10.91,10.7,128.37,1852,126.7,13,112.85,0,0.000979,110.3,110.3,-0.01,19.8,-2.79,-0.45,500,0.015479054,125,21.61,129,28.2,28.1,18,-484.14,-510,-559.1
9317,349.6594916,0,2.4,0,0,3.69,20.667,100,43.98,243.56,258.76,246.97,287.54,90.26,1041.24,1131.5,1087.97,1130.29,2.23,51.69,183.23,1132,16.81,13.86,5.81,556,126.6,11.5,0,-0.06,0.246,110.3,110.3,0.02,32.2,3.69,-0.31,500,0.246,0,30.67,130.3,28.1,28,14,-7.06,0,7.9
2162,10000,2595,112.2,2,0.1,3.132447605,83.59,16.91837357,17.48,384.59,375.98,368.93,386.41,29.8,1258.68,1288.48,1268.7,1279.37,14.49,59.01,189.94,2452.1,13.74,15.05,81.08,3704,299.1,12,83.59,-0.03,0.035330613,109.2,110.1,0.01,25.2,6.79,1.65,500,0.20882984,89,28.79,296.9,28.1,28.1,14,579.57,540,590.6
6961,10000,4038,-2.9,0.1,0,2.257418375,100.61,18.32215994,43.9,349.6,350.3,359.92,393.5,9.72,1366.09,1370.33,1363.19,1360.61,10.24,63.19,193.14,2565.3,19.1,19.42,108.91,3704,314.6,11.5,100.61,0.01,0.027573854,110.3,110.3,0.02,19.5,1.92,0.82,500,0.150494558,113,38.52,310.1,28.2,28.1,14,-19.74,-60,-110.2
268,644.3001957,13,-0.2,3.6,0.4,1.708675446,20.667,0.280998004,16.3,348.47,341.16,357.46,352.65,43.6,1107.28,1148.99,1142.21,1150.88,2.21,45.48,176.5,1046,15.02,19.32,0,3704,122.5,11,0,0,0.00032,109.2,110.1,0,30.8,2.53,-0.02,500,0.113911696,0,34.34,279.7,28,28,14,-3.59,30,0
16657,2775.184347,81,-56.6,0.5,0,3.283585494,67.483,61.64035578,7.18,283.27,287.33,282.7,280.15,37.23,1180.14,1199.36,1162.13,1188.78,5.32,65.33,162.34,1622.2,17.28,18.97,65.74,1852,131.3,17.5,66.88,0.02,0.134934252,116.2,114.3,-0.03,21.8,-0.24,-1.88,500,0.2189057,69,36.25,130.9,28.1,28,17,-356.92,-420,-252
193,645.6171374,13,0.1,4.2,0.6,1.298675446,20.667,2.965838067,16.34,319.38,312.71,329.05,320.68,51.06,1293.3,1258.8,1309.86,1275.2,6.3,56.74,173.77,1802.4,15.31,19.37,0,3704,122.5,11,0,-0.02,0.002567774,109.2,110.1,-0.02,30.2,2.12,-0.1,500,0.086578363,0,34.68,279.7,28.1,28.1,14,-17.16,30,0
3786,938.8923048,0,-0.2,-9.1,0,1.608675446,20.667,4.057015716,28.11,294.31,272.6,300.71,293.54,143.67,815.38,710.91,854.58,825.54,0.04,-0.22,174.2,38.8,12.58,12.72,0,1852,251.1,11,0,-0.02,0.004350948,109.2,110.1,0,31.2,2.43,0.4,500,0.10724503,0,25.3,250.5,25.2,25.2,15,-1.96,30,0
