DateTime,AirportDistance,AltAGL,AltMSL Lag Diff,amp1,amp2,AOASimple,CAS,Coordination Index,E1 CHT Divergence,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT Divergence,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,E1 FFlow,E1 OilP,E1 OilT,E1 RPM,FQtyL,FQtyR,GndSpd,HAL,HDG,HPLfd,IAS,LatAc,LOC-I Index,NAV1,NAV2,NormAc,OAT,Pitch,Roll,RunwayDistance,Stall Index,TAS,Total Fuel,TRK,volt1,volt2,VPLwas,VSpd,VSpd Calculated,VSpdG
15756,1676.154265,18,-49.8,0.5,0,3.42,60.623,15.99040473,3.28,277.66,278.95,275.67,276.57,45.5,1190.56,1211.16,1165.66,1186.05,3.04,59.04,164.42,1171.9,17.55,20.49,57.24,1852,131.5,19,57.08,0.01,0.036458123,116.2,114.3,-0.04,22.2,3.42,0.15,11.61676072,0.228,59,38.04,130.1,28,28,16,-485.42,0,-70.9
17649,10000,802,15.6,0.4,0,3.978225698,77.68,21.64674352,5.75,277.86,280.91,276.69,275.16,49.96,1202.89,1234.31,1184.35,1199.21,8.14,68.43,162.19,1956.8,15.15,16.19,78.3,1852,173.1,18.5,77.68,-0.01,0.057410421,116.2,114.3,-0.11,20.2,6.82,1.75,500,0.265215047,81,31.34,177.9,28,28,17,219.28,390,421.3
17585,10000,847,1,0.4,0.1,3.429032248,86.83,100,2,282,282.12,280.12,280.72,43.62,1199.46,1226.29,1182.67,1198.44,8.06,68.93,165.01,2022.6,13.75,18.4,94.29,1852,281.1,19,86.83,0.02,0.22860215,116.2,114.3,0.01,20.2,3.82,-7.21,500,0.22860215,90,32.15,281.5,28.1,28,17,87.56,60,141.7
15600,10000,830,-18.9,0.6,0,3.14086897,92.87,8.304760249,12.92,338.97,343.36,332.39,330.44,52,1253.28,1291.24,1239.24,1255.06,7.86,68.45,165.21,2063.7,17.23,20.34,109.26,1852,312.2,19,92.87,0,0.017389443,116.2,114.3,0.03,21.5,1.13,1.38,500,0.209391265,97,37.57,311.4,28,28,16,-269.48,-330,-248
16444,10000,793,120.4,0.9,0,0.531422647,80.78,43.01849103,13.68,322.15,328.22,320.18,314.54,59.6,1242.51,1285.53,1225.93,1244.55,15.55,71.47,162.75,2438.4,17.13,17.63,84.83,1852,37.6,17,80.78,-0.03,0.015240667,116.2,114.3,-0.2,21.2,5.37,-0.92,500,0.035428176,84,34.76,32.4,28,28,17,768.65,690,665.4
16779,10000,668,129.1,0.7,0.1,3.540696358,74.05,2.967334861,13.77,319.59,326.1,316.27,312.33,65.41,1242.82,1287.34,1221.93,1243.7,15.57,71.72,162.01,2398.1,17.42,16.57,72.23,1852,176.2,16.5,74.05,0.01,0.007004288,116.2,114.3,0.07,21.2,8.13,24.05,500,0.236046424,77,33.99,172.8,28,28,16,553.25,600,732.3
16601,10000,381,-85.9,0.5,0,3.88385458,66.447,28.42295635,6.03,291.69,295.3,289.27,290.47,26.61,1155.6,1167.15,1146.08,1172.69,4.93,64.8,165.05,1587.8,17.13,19.02,66.3,1852,125,17.5,65.4,0.04,0.073593753,116.2,114.3,0.02,21.5,-3.03,1.15,500,0.258923639,68,36.15,118.4,28,28,17,-785.13,-810,-614.2
16205,4243.50789,805,-17.6,0.5,0,2.04911478,82.25,14.95890006,11.34,325.66,329.48,318.91,318.14,47.18,1231.14,1258.82,1211.64,1223.03,5.82,65.82,163.39,1797.3,16.65,18.89,98.43,1852,313.6,15,82.25,0.03,0.020435002,116.2,114.3,-0.07,21.2,1.43,0.68,500,0.136607652,86,35.54,311.8,28,28,16,-184.3,-90,-192.9
15734,3829.903029,105,-32.2,0.5,0,3.346759656,62.975,13.4712859,4.6,276.7,278.33,273.73,277.69,41.67,1178.31,1204.78,1163.11,1173.18,7.7,67.91,165.64,1862.7,17.68,20.14,59.42,1852,131.6,18,60.44,0.01,0.030056771,116.2,114.3,0.01,22,1.19,-0.29,500,0.22311731,62,37.82,130.9,28,28,16,-321.15,-240,-173.2
1993,10000,883,107.6,2,0.1,5.927514212,81.05,41.31284576,15.3,363.73,348.43,352.58,351.46,42.23,1269.16,1311.39,1289.01,1304.49,15.1,59.52,178.28,2456.5,13.66,15.73,79.89,3704,209.1,12,81.05,0,0.163254987,109.2,110.1,0.12,28,9.49,-0.77,500,0.395167614,85,29.39,209.8,28.1,28.1,14,605.23,510,854.3
