DateTime,AirportDistance,AltAGL,AltMSL Lag Diff,amp1,amp2,AOASimple,CAS,Coordination Index,E1 CHT Divergence,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT Divergence,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,E1 FFlow,E1 OilP,E1 OilT,E1 RPM,FQtyL,FQtyR,GndSpd,HAL,HDG,HPLfd,IAS,LatAc,LOC-I Index,NAV1,NAV2,NormAc,OAT,Pitch,Roll,RunwayDistance,Stall Index,TAS,Total Fuel,TRK,volt1,volt2,VPLwas,VSpd,VSpd Calculated,VSpdG
7527,10000,3108,4.2,0.1,0,1.582233869,102.18,24.10435608,43.41,341.62,342.18,351.45,385.03,11.48,1348.83,1349.16,1345.12,1337.68,9.98,63.7,192.94,2523.6,18.26,18.7,110.51,3704,325,12.5,102.18,0.02,0.025425819,110.3,110.3,-0.03,17.8,1.25,-0.64,500,0.105482258,115,36.96,322.3,28.2,28,14,27.03,-60,-27.6
275,644.3001957,11,-0.8,3.5,0.4,2.56,20.667,1.561620729,16.62,348.77,341.64,358.26,354.21,39.14,1104.73,1134.62,1140.62,1143.87,2.16,45.45,176.92,1048.8,14.97,19.34,0,3704,122.6,11,0,0,0.002665166,109.2,110.1,0.02,30.5,2.56,0,500,0.170666667,0,34.31,279.7,28,28,14,0,0,0
2463,10000,2958,84.8,2,0,2.152307938,83.58,100,21.65,357.77,338.17,341.83,359.82,22.95,1251.17,1244.65,1260.84,1237.89,8.06,56.93,188,2100.3,12.29,16.49,81.04,1852,298.4,13.5,83.58,-0.02,0.143487196,109.2,110.1,-0.02,23.2,5.2,-2.35,500,0.143487196,90,28.78,297.8,28.1,28.1,16,347.1,450,263.8
3285,10000,1793,-1,1.9,0,1.739597849,99.61,18.55721052,23.5,347.7,324.2,329.59,341.35,11.73,1307.45,1311.3,1319.18,1311.99,10.25,60.47,173.37,2385.2,11.92,14.42,103.74,1852,264.8,11.5,99.61,0.01,0.021521389,109.2,110.1,0,25.2,1.91,-0.79,500,0.11597319,106,26.34,264.8,28.1,28.1,15,18.43,30,27.6
4850,10000,3605,94.1,1.2,0,3.354006985,84.03,14.42107503,37.78,372.72,365.92,368.7,403.7,5.92,1379.88,1377.86,1382.39,1383.78,12.03,61.75,197.46,2521,22.95,24,82.75,3704,307.9,27,84.03,-0.01,0.032245591,110.1,109.4,0,22.2,6.79,0.31,500,0.223600466,92,46.95,310.3,28.1,28,18,481.18,510,464.6
5014,10000,4896,71,1,0,3.521458528,84.62,2.01757066,41.27,382.41,384.43,381.32,422.59,5.56,1376.34,1381.9,1379.51,1381.3,11.46,60.83,204.98,2541.2,22.61,23.33,76.16,3704,309.9,26.5,84.62,0,0.004736528,110.1,109.4,0,19.2,6.13,0.59,500,0.234763902,94,45.94,310.4,28.2,28,18,369.57,390,413.4
8893,10000,2136,-3.5,0,0,2.388924975,104.04,11.40680031,37.75,323.7,323.02,332.21,360.77,21,1301.9,1295.61,1305.69,1284.69,11.39,63.78,187.35,2486.3,17.02,15.71,104.6,1852,238.4,12,104.04,-0.01,0.01816666,110.3,110.3,0.05,24.5,1.41,1.92,500,0.159261665,112,32.73,233.3,28.2,28,12,7.35,-180,-43.3
1385,10000,1123,-6.3,2.1,0,2.775892122,91.97,19.86323561,16.12,371.25,357.05,355.13,370.45,29.61,1299.4,1294.95,1315.3,1285.69,9.16,58.01,183.51,2224.3,13.11,18.23,99.31,3704,32.2,14,91.97,0.02,0.0367588,109.2,110.1,-0.02,26,0.93,0.55,500,0.185059475,96,31.34,29.3,28.1,28.1,14,-50.48,-300,-200.8
14188,10000,977,-95.4,0,0,0.985740709,86.47,5.128050991,31.89,258.17,260.72,264.38,290.06,52.54,1234.58,1196.69,1232.82,1182.04,5.91,61.3,172.25,1780.4,10.77,9.68,88.21,40,210.9,9,86.47,0.01,0.003369952,110.3,110.3,0.02,26.2,-1.96,1.75,500,0.065716047,91,20.45,217.4,28.2,28.1,18,-660.3,-450,-460.6
7234,10000,4124,7.7,0.1,0,1.78730195,99.06,39.26376696,44.53,344.55,344.91,354.39,389.08,9.21,1346.53,1348.74,1344.42,1339.53,9.82,63.14,195.25,2495.7,19,18.7,106.15,3704,315.8,11.5,99.06,0.02,0.046784138,110.3,110.3,0.03,19.5,2.13,-0.18,500,0.119153463,111,37.7,309.4,28.2,28,14,-12.3,60,7.9
3381,10000,1879,29.9,1.9,0,1.970179127,97.02,36.40375019,24.31,357.36,333.05,338.32,354.48,11.21,1308.59,1314.38,1319.8,1309.6,10.24,60.18,176.4,2363.9,11.95,14.11,104.03,1852,287,11.5,97.02,0,0.047814606,109.2,110.1,0.02,25.2,2.67,-1.04,500,0.131345275,103,26.06,288.3,28.1,28.1,15,153.2,120,126
5341,10000,5194,-7,0.6,0,0.02,106.06,24.69652622,45.86,355.94,359.49,365.25,401.8,9.72,1351.74,1353.56,1348.88,1343.84,9.9,63.36,197.45,2555,20.55,23.67,100.36,3704,310.8,27,106.06,0.01,0.000329,110.1,109.4,0,17.5,0.02,-1.2,500,0.001333333,119,44.22,310.1,28.2,28,17,-16.59,0,-27.6
5631,10000,5014,9.9,0.5,0,1.149577043,102.74,25.8489465,44.84,346.66,346.89,353.66,391.5,4.93,1360.97,1360.52,1358.56,1356.04,10.31,64.01,191.91,2561.4,20.28,22.71,105.67,3704,308.9,16,102.74,0.01,0.019810237,110.1,109.4,-0.12,17,1.48,-0.22,500,0.07663847,115,42.99,309.8,28.2,28,14,-69.78,60,27.6
2027,10000,1112,44,2.1,0,2.096928928,90.16,38.54548187,13.38,375.41,363.2,362.03,368.31,39.76,1271.69,1311.45,1289.5,1308.39,15.25,59.19,180.17,2495.7,14.54,14.81,97.7,3704,283.2,12,90.16,-0.02,0.053884757,109.2,110.1,0.09,27,2.85,9.35,500,0.139795262,94,29.35,282.9,28.1,28.1,14,169.96,120,216.5
18143,893.2842261,0,-1.4,0.6,0,4.831324554,20.667,31.19966335,22.14,275.23,297.37,282.96,296.56,88.95,962.38,1049.93,960.98,1026.45,2.08,55.27,160.08,807.9,13.99,17.22,5.46,1852,178.3,18,0,0.04,0.100490466,116.2,114.3,0.16,23.5,4.01,-0.57,500,0.322088304,0,31.21,175.8,28,28,18,16.48,-30,-3.9
7060,10000,4202,-2.4,0.1,0,2.86,97.84,23.79069594,45.35,351.29,352.94,361.19,396.64,12.49,1355.94,1355.81,1355.01,1343.45,9.93,62.96,195.13,2524.3,19.25,19.32,106.17,3704,318.4,11,97.84,0,0.045360927,110.3,110.3,-0.04,19.8,2.86,-0.66,500,0.190666667,110,38.57,309.4,28.2,28,13,68.6,0,0
9121,10000,1038,-107.8,0,0,4.581723505,97.84,32.20564346,36.26,302.61,305.39,311.79,338.87,48.03,1240,1228.37,1260.62,1212.59,5.31,58.68,186.01,1884.8,17.69,17.39,97.54,556,240.9,11.5,97.84,0.02,0.098371569,110.3,110.3,0.05,27,-2.2,-0.2,500,0.305448234,104,35.08,234.6,28.2,28,13,-624.28,-1170,-700.8
10242,10000,4676,79.7,0,0,2.917145835,85.11,19.18559448,39.98,368.16,367.85,368.37,407.83,15.74,1329.74,1337.65,1336.2,1345.48,11.79,61.57,204.65,2525.6,14.76,13.45,111.46,3704,124.8,11,85.11,-0.01,0.037311451,110.3,110.3,-0.01,18.5,5.91,-0.02,500,0.194476389,95,28.21,126,28.2,28.1,14,436.8,450,472.4
14943,1920.651121,0,-1.2,1.2,0.2,2.548675446,20.667,12.64439044,33.03,288.86,314.55,299.92,321.89,99.42,887.03,971.25,883.34,982.76,2.05,58.13,159.92,918.3,18.68,20.14,0,1852,197.8,16.5,0,-0.01,0.021484298,116.2,114.3,-0.01,24.2,3.37,0.9,500,0.169911696,0,38.82,206.6,28.1,28.1,16,12.38,30,0
18060,1594.862337,0,-1.1,0.7,0,3.188675446,20.667,8.013905954,19.33,273.08,292.21,279.48,292.41,71.42,981.82,1053.24,997.41,1033.41,2.22,56.94,159.99,899.8,15.15,15.7,6.9,1852,270.1,17.5,0,0,0.01703583,116.2,114.3,0.01,23.5,4.01,0.42,500,0.212578363,0,30.85,269.9,28.1,28.1,18,15.99,30,0
12265,10000,3920,6.9,0,0,1.749694716,96.97,36.01761523,45.08,336.82,338.8,345.33,381.9,4.2,1322.46,1324.2,1323.85,1320,9.78,64.33,191.48,2493.4,12.6,11.25,113.23,3704,121.7,15.5,96.97,-0.02,0.042013221,110.3,110.3,-0.01,16.8,2.8,0.49,500,0.116646314,110,23.85,127.6,28.2,28.1,18,78.07,180,102.4
16826,10000,1202,160.7,0.5,0,2.449138781,84.05,30.15591134,14.99,340.61,345.42,333.79,330.43,67.8,1237.7,1286.51,1218.71,1242.66,15.4,71.16,165.42,2446.9,17.23,16.24,94.97,1852,260.2,16,84.05,-0.04,0.049237341,116.2,114.3,-0.02,20.5,7.91,0.97,500,0.163275919,88,33.47,267.9,28,28,16,693.41,810,807.1
