DateTime,AirportDistance,AltAGL,AltMSL Lag Diff,amp1,amp2,AOASimple,CAS,Coordination Index,E1 CHT Divergence,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT Divergence,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,E1 FFlow,E1 OilP,E1 OilT,E1 RPM,FQtyL,FQtyR,GndSpd,HAL,HDG,HPLfd,IAS,LatAc,LOC-I Index,NAV1,NAV2,NormAc,OAT,Pitch,Roll,RunwayDistance,Stall Index,TAS,Total Fuel,TRK,volt1,volt2,VPLwas,VSpd,VSpd Calculated,VSpdG
14122,10000,1659,-107.7,0,0,1.047914068,90.29,1.123991673,32.31,257.55,257.74,263.7,289.86,76.68,1225.48,1214,1272.79,1196.11,5.05,60.75,173.88,1774.2,10.79,10.08,91.36,40,216.6,8.5,90.29,0.02,0.000785,110.3,110.3,0.03,24.8,-3.28,0.08,500,0.069860938,96,20.87,217.5,28.2,28,18,-524.05,-690,-594.5
3416,10000,1744,-19,1.9,0,1.237111687,103.78,1.311385827,24.29,359.13,334.84,340.2,356.79,11.17,1311.46,1319.38,1322.63,1314.29,10.49,60.94,177.51,2414.6,11.83,14.35,108.91,1852,280.6,11.5,103.78,0.02,0.001081554,109.2,110.1,0.02,25.5,0.91,0.46,500,0.082474112,110,26.18,281.3,28.1,28.1,15,-79.27,-60,-86.6
4938,10000,4466,72.7,1.1,0,4.05286078,85,0.693972364,39.47,385.93,380.5,379.37,418.84,3.29,1365.76,1367.12,1369.05,1368.53,11.69,61.11,202.63,2513,22.86,23.67,80.16,3704,309.1,26.5,85,0,0.001875049,110.1,109.4,0,20.5,6.25,0.4,500,0.270190719,94,46.53,310.7,28.2,28.1,18,362.55,330,362.2
6401,10000,4610,-1.1,0.3,0,0.890555373,104.04,28.78741338,43.25,339.14,337.21,346.15,380.46,9.72,1348.44,1350.47,1350.08,1340.75,9.89,64.49,188.5,2539.8,19.94,20.43,108.68,3704,309.6,13.5,104.04,0.01,0.01709119,110.3,110.3,-0.06,17.5,1.38,0.14,500,0.059370358,117,40.37,309.8,28.2,28.1,15,31.72,90,82.7
10772,10000,5345,-1.8,0.1,-0.1,1.8,99.56,1.264490523,43.54,339.32,339.17,349.1,382.71,9.06,1338.44,1344.81,1341.46,1335.75,9.52,64.85,191.05,2506,14.37,13.42,116.11,3704,122.7,11,99.56,0,0.001517389,110.3,110.3,-0.01,15.5,1.8,-0.09,500,0.12,113,27.79,126.5,28.2,28.1,14,13.67,0,3.9
7168,10000,3742,1.2,0.1,0,1.086773015,101.52,6.181895448,44.35,346.49,346.91,356.1,390.84,11.98,1346.96,1347.82,1342.8,1335.84,9.97,63.37,195.57,2507.8,18.97,18.91,111.25,3704,314.1,11,101.52,-0.01,0.004478878,110.3,110.3,0.04,19.5,2.09,0.44,500,0.072451534,114,37.88,308.7,28.2,28,14,-109.45,180,11.8
5329,10000,5225,2,0.6,0,0.077983194,102.56,34.26452392,46.13,357.72,361.17,366.33,403.85,10.82,1350.11,1352.66,1349.82,1341.84,9.78,62.97,197.84,2518.5,20.8,23.24,97.27,3704,310.6,27,102.56,0.01,0.001781371,110.1,109.4,-0.01,17.5,0.74,-1.36,500,0.00519888,115,44.04,310,28.2,28,17,-14.48,120,43.3
5633,10000,5061,6.8,0.5,0,1.91,102.33,54.63724257,44.8,346.69,346.93,353.66,391.49,5.97,1361.9,1360.86,1356.48,1355.93,10.32,64.12,191.88,2560,20.23,22.71,105.43,3704,308.8,16,102.33,-0.02,0.069571422,110.1,109.4,0.03,17,1.91,-1.2,500,0.127333333,114,42.94,309.8,28.2,28,15,-17.69,0,47.2
204,645.6171374,13,0.3,4.1,0.5,2.04,20.667,1.264490523,16.04,324.59,317.6,333.64,325.31,58.09,1319.2,1279.33,1337.42,1288.42,5.26,55.95,173.97,1753.9,14.81,19.19,0,3704,122.5,11,0,0,0.001719707,109.2,110.1,-0.06,30,2.04,-0.09,500,0.136,0,34,279.7,28.1,28.1,14,-3.65,0,0
6093,10000,4174,-9.9,0.3,0,1.429652882,102.98,17.01693161,42.73,335.38,334.69,343.97,377.42,10.52,1336.97,1339.13,1338.62,1328.61,9.74,64.24,188.48,2516,19.68,21.41,104.15,3704,307.8,14.5,102.98,0,0.01621887,110.3,110.3,-0.02,17,1.1,-0.67,500,0.095310192,115,41.09,309.7,28.2,28.1,16,-56.09,-60,-43.3
10519,10000,5910,4.4,0.1,0,1.228426578,98.93,32.94862181,44.37,353.21,356.53,361.85,397.58,9.75,1340.81,1342.93,1338.69,1333.18,9.48,63.68,198.66,2508.6,14.27,14.21,120.23,3704,123.8,11.5,98.93,0.03,0.026983308,110.3,110.3,-0.06,15.2,1.4,-0.79,500,0.081895105,113,28.48,126,28.2,28.1,14,8.68,30,11.8
14234,7975.022049,756,-141,0,0,1.386128657,79.84,100,30.59,265.58,266.48,269.62,296.17,462.18,908.87,1189,726.82,1171.93,1.78,52.01,171.1,1138.2,10.67,10.73,81.78,40,213.2,8.5,79.84,0.01,0.092408577,110.3,110.3,0.03,26.8,-4.15,-3.16,500,0.092408577,84,21.4,218,28.2,28,18,-974.82,-780,-692.9
151,644.3001957,12,0.1,4.9,0.7,3.131324554,20.667,0.998852759,18.77,300.7,293.92,312.69,305.23,48.72,1236.3,1202.75,1251.47,1222.38,7.24,57.9,173.29,1840.3,15.24,19.44,0,3704,122.6,11,0,0,0.002085155,109.2,110.1,-0.05,30.2,2.31,0.04,500,0.20875497,0,34.68,279.7,28.1,28,14,8.73,-30,0
