DateTime,AirportDistance,AltAGL,AltMSL Lag Diff,amp1,amp2,AOASimple,CAS,Coordination Index,E1 CHT Divergence,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT Divergence,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,E1 FFlow,E1 OilP,E1 OilT,E1 RPM,FQtyL,FQtyR,GndSpd,HAL,HDG,HPLfd,IAS,LatAc,LOC-I Index,NAV1,NAV2,NormAc,OAT,Pitch,Roll,RunwayDistance,Stall Index,TAS,Total Fuel,TRK,volt1,volt2,VPLwas,VSpd,VSpd Calculated,VSpdG
7586,10000,3378,-1.5,0.1,0,1.917608941,101.27,20.6030804,42.82,340.43,340.45,349.84,383.25,10.44,1347.49,1348.11,1346.5,1337.67,9.85,63.56,192.33,2510.4,18.28,18.73,109.22,3704,324.1,12.5,101.27,0,0.026339101,110.3,110.3,0,18,1.75,-0.4,500,0.127840596,114,37.01,321.3,28.2,28.1,14,118.57,-30,-31.5
1735,10000,1166,-4.6,2,0.1,2.148616926,88.69,23.43416264,18.11,365.35,347.24,349.04,363.25,32.85,1288.84,1277.36,1300.9,1268.05,9.01,56.92,182.63,2169.1,12.66,18.33,96.3,3704,32.9,12,88.69,0.04,0.033567359,109.2,110.1,0.04,26,2.34,2.12,500,0.143241128,93,30.99,28.7,28.1,28.1,14,7.58,30,-35.4
845,2730.688907,72,-72,2.2,0.1,3.091132204,66.139,69.26169842,20.41,319.95,299.54,314.64,317.66,42.98,1221.58,1199.93,1242.91,1208.97,6.4,55.07,185.42,1770.8,14.44,19.39,65.29,3704,207.3,14,64.96,-0.01,0.142731378,109.2,110.1,0.03,28.2,0.01,-2.45,500,0.20607548,67,33.83,209.7,28.1,28.1,14,-307.98,-360,-437
7577,10000,3301,-0.6,0.1,0,1.539614954,99.62,7.788486063,42.9,340.44,340.58,350.02,383.34,13.33,1349.68,1347.29,1344.68,1336.35,9.8,63.39,192.41,2503.4,18.08,18.91,109.77,3704,324.4,12.5,99.62,-0.01,0.00799418,110.3,110.3,-0.03,17.8,1.71,-0.03,500,0.102640997,112,36.99,321.5,28.2,28,14,-8.68,30,-3.9
1572,4199.727722,299,91.7,2.1,0.1,0.930217058,66.965,90.59353183,21.69,321.91,300.22,314.56,308.22,39.03,1262.41,1292.69,1286.22,1301.44,15.26,60.06,179.96,2405.7,13.4,17.73,66.05,3704,205.9,13,66.14,-0.01,0.056181099,109.2,110.1,-0.08,29,7.28,-0.7,500,0.062014471,68,31.13,206.9,28.1,28.1,14,446.97,750,594.5
342,635.6416534,11,-0.1,1.3,-0.3,2.761324554,20.667,1.809059711,22.5,346.96,341.63,364.13,359.31,101.82,1002.57,937.15,1027.69,1038.97,1.53,41.75,180.62,804.2,15.34,19.37,0,3704,298.5,13.5,0,0,0.003330267,109.2,110.1,-0.02,31,1.94,0.24,500,0.184088304,0,34.71,300.1,26.7,26.8,14,-0.69,-30,0
3238,10000,1824,-31.2,1.9,0,1.69210386,102.22,16.50934326,23.03,335.94,312.91,319.16,327.22,13.01,1307.9,1312.58,1320.91,1310.78,10.42,60.99,172.44,2405.9,12.07,14.52,104.62,1852,269.8,11.5,102.22,0.01,0.018623682,109.2,110.1,0.02,25.5,1.36,0.46,500,0.112806924,109,26.59,269,28.1,28,16,-85.64,-60,-43.3
11298,10000,4039,2,0.1,0,2.173325428,97.93,3.054993053,43.56,339.26,339.81,348.87,382.82,8.35,1341.09,1343.77,1338.16,1335.42,9.42,64.49,189.35,2490.8,14.06,12.36,107.49,3704,123.6,10.5,97.93,0,0.004426329,110.3,110.3,-0.01,15.2,2,0.73,500,0.144888362,111,26.42,126.5,28.2,28.1,15,28.53,-30,-7.9
15139,1941.950457,2,0.3,0.6,0,1.998675446,20.667,100,5.8,312.04,306.24,308.49,309.79,34.16,1047.06,1059.03,1029.5,1063.66,1.67,56.11,160.22,887.7,18.25,20.44,7.29,1852,186.4,16,0,-0.08,0.13324503,116.2,114.3,0.02,23.8,2.82,0.03,30.07104069,0.13324503,0,38.69,194.6,28.1,28.1,15,8.6,30,11.8
918,10000,368,45.4,2.2,0.1,3.981090019,72.61,88.0913039,17.94,335.93,317.99,329.4,326.27,32.46,1271,1300.33,1289.86,1303.46,15.4,60.23,181.95,2423.2,13.66,19.57,73.98,3704,213.6,13.5,72.61,0.01,0.233799607,109.2,110.1,0.01,28.8,5.15,0.35,500,0.265406001,75,33.23,212.3,28.1,28.1,14,232.59,150,196.9
16591,10000,470,-100.9,0.5,0.1,3.681153467,70.06,100,6.95,296.06,300.08,293.13,294.88,33.03,1160.72,1173.19,1148.53,1181.56,4.89,64.8,165.36,1608.1,17.42,18.84,67.49,1852,157.7,17,70.06,0.02,0.245410231,116.2,114.3,0.21,21.5,0.53,-29.28,500,0.245410231,73,36.26,164.2,28,28,17,-403.8,-390,-370.1
581,10000,472,128.6,2.6,0.2,6.040694205,75.48,46.44316033,20.08,374.8,357.25,377.33,365.97,40.91,1276.8,1313.12,1294.23,1317.71,15.12,60.58,183.2,2420.3,15.56,18.53,73.73,3704,204.6,13.5,75.48,-0.01,0.18703262,109.2,110.1,-0.12,29.2,12.35,0.34,500,0.402712947,78,34.09,205.8,28.1,28.1,14,898.9,840,1015.7
16443,10000,785,119.3,0.9,0.1,2.641864677,80.39,31.01998605,13.62,321.64,327.69,319.71,314.07,59.55,1243.95,1284.92,1225.37,1245.3,15.43,69.19,162.7,2434.6,16.97,17.74,84.63,1852,38.1,17.5,80.39,-0.04,0.054633737,116.2,114.3,-0.04,21.2,8.14,0.35,500,0.176124312,84,34.71,32.8,28,28,17,751.94,780,744.1
1890,283.1894435,6,-9.1,-2.5,-0.4,3.779672112,49.948,45.38765571,27.15,300.43,273.28,293.26,292.35,204.82,1016.83,826.77,1021.23,1031.59,1.18,40.76,179.4,746,13.9,16.12,45.82,3704,211.5,12,41.83,0.05,0.114366971,109.2,110.1,0.02,29.2,3.1,-0.55,3.083703634,0.251978141,43,30.02,209.6,26.5,26.6,14,92.41,-60,-35.4
15812,1088.017916,15,11.1,3.5,0.1,6.332864154,62.338,41.9042145,5.94,274.67,280.59,274.65,276.02,62.28,1206.48,1244.3,1182.02,1205.57,15.75,73.18,164.89,2355.7,17.76,19.99,59.38,1852,132.7,18,59.53,-0.01,0.176915799,116.2,114.3,0.17,22.8,11.24,1.99,2.912089265,0.422190944,61,37.75,131.7,28,28,15,193.58,540,440.9
3704,441.8642353,0,0,4,0.1,3.1,20.667,3.497603051,28.3,288.73,260.43,285.09,279.55,34.19,1051.16,1082.74,1085.35,1082.46,2.49,46.57,173.76,1126,11.88,13.33,7.19,1852,35.3,11,0,-0.02,0.00722838,109.2,110.1,0.02,30.2,3.1,0.36,500,0.206666667,0,25.21,35.3,28.1,28.1,15,5.38,0,7.9
16743,4043.434545,223,98.4,1.1,0.1,4.63551614,76.23,11.24128938,10.67,292.95,301.25,293.03,290.58,66.21,1244.74,1287.59,1221.38,1240.29,15.7,73,162.23,2410.9,16.7,17.49,71.69,1852,134,16,76.23,-0.01,0.034739452,116.2,114.3,-0.08,22,8.87,2.42,500,0.309034409,79,34.19,133.8,28,27.9,16,788.94,570,649.6
485,2176.014968,5,1.3,3.3,0.3,4.121324554,20.667,0.089761094,34.62,344.67,324.6,359.22,344.67,49.62,991.4,985.85,1030.87,1035.47,1.73,42.69,183.27,875.9,17.31,16.91,0,3704,342.2,13.5,0,0,0.000247,109.2,110.1,-0.02,30.8,3.3,0.34,500,0.27475497,0,34.22,346.1,27.9,27.9,14,-3.21,-30,0
15073,1920.651121,1,-0.2,0.7,0.1,2.9,20.667,13.90870936,6.43,310.57,315.21,312.18,317,41.34,1137.12,1095.78,1096.31,1106.6,3.11,59.2,159.6,1068.9,18.48,20.24,0,1852,197.5,16,0,-0.01,0.026890171,116.2,114.3,-0.02,24,2.9,0.99,500,0.193333333,0,38.72,206.6,28.1,28.1,15,-6.44,0,0
3536,10000,909,-78.8,1.9,0,2.335511161,77.33,39.63277061,26.59,312.45,285.86,300.91,311.7,41.97,1196.08,1181.97,1223.94,1197.08,4.48,53.52,179.23,1661.1,12.6,14.54,80.59,1852,213.1,11,77.33,0.01,0.061708519,109.2,110.1,-0.02,27.5,0.14,-1.58,500,0.155700744,81,27.14,217.5,28.1,28.1,15,-312.96,-300,-291.3
1773,10000,914,-107.9,2,0,3.068016758,72.96,48.41503917,21.8,347.66,326.19,333.14,347.99,30.06,1185.8,1182.22,1212.28,1182.42,3.22,49.66,184.66,1472.4,13.32,18.78,82.46,3704,24.2,12.5,72.96,0.03,0.099025434,109.2,110.1,-0.01,26.2,-1.59,0.45,500,0.204534451,76,32.1,19.3,28.1,28.1,14,-544.7,-600,-590.6
786,10000,459,-85.9,2.4,0.1,4.51783635,65.992,50.02817067,27.06,328.52,308.7,321.2,335.76,33.73,1159.94,1171.52,1193.67,1165.13,5.93,53.94,189.71,1713.2,14.97,19.6,70.99,3704,296.3,13.5,64.75,-0.01,0.150679392,109.2,110.1,-0.01,27.2,-1.15,-1.09,500,0.30118909,67,34.57,302.4,28.1,28.1,14,-679.97,-660,-669.3
